id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Maynard;Jacobson;OTHER;"7,""-NV@DS#(..l>*";026.954.0023 x96261;Berkshire Designer;Credit Card Account;Lake Friedrichberg;Dominican Republic;2
2;Prudence;Hilll;FEMALE;"<MdM@sX.WS5.CPX}`>";1-160-853-6207 x582;deposit Sausages;disintermediate Cambridgeshire hacking;Evanchester;Botswana;1
3;Thurman;Lindgren;OTHER;"o,5""l@7.ds1j";098.598.6132 x37788;AI optical invoice;Marketing;Treutelfurt;Mozambique;2
4;Adelbert;Hilpert;OTHER;"C:{@iZ.b-";(646) 921-7024 x317;payment calculating;local area network Benin;Fredyfurt;Eritrea;1
5;Dee;McKenzie;FEMALE;"0bWxI)@^aNtsY.m2w<\";(481) 274-2507 x6019;Villages uniform PCI;Automotive Tactics architectures;Marquardtshire;Wallis and Futuna;2
6;Arch;Greenholt;OTHER;"t@s.{/*";398.695.0026 x693;Open-architected;FTP;Rosettachester;Burkina Faso;2
7;Melody;Herzog;OTHER;"""W^q+@Px^/.k)";567-160-7370;FTP Tools California;North Dakota Garden;East Karen;Wallis and Futuna;1
8;Rogelio;McLaughlin;MALE;"EC;@5a}2#.d?";640.801.5456 x61719;Buckinghamshire alliance redundant;content;Aricberg;Anguilla;1
9;Vince;Bode;FEMALE;"h$.@Nt$.k*e";692.695.7654;system Gorgeous Rubber Pants;hack;West Bettyeton;Aruba;1
10;Alize;Hagenes;OTHER;"R2{|@i=S!.-&GMxg";(463) 069-6802 x306;Borders EXE payment;Checking Account;Nitzscheside;Anguilla;2
